Date,Temp,BOD,NH3,P,SO4,TDS,pH,PM2.5,Wind
2015-01,18.8889,21.205,6.865,0.55,72.5,586.5,7.5,0,1.568161025
2015-02,19.1389,34.725,3.92,1.58,105,624,7.81,17.44791667,1.036641211
2015-03,21.8889,26.975,7.17,1.09,51.9,531,7.735,67.59005376,0.952248392
2015-04,28.3611,14.505,4.865,0.585,100,577,7.705,61.55138889,0.930110209
2015-05,33.4722,17.65,7.135,0.785,58.5,324.5,7.515,70.67069892,1.117311953
2015-06,39.5,54.7083,6.7183,1.475,56.5,960.5,8.2367,54.4125,0.730263651
2015-07,30.6111,17.1117,3.2417,1.75,49.5,319.3333,7.8,26.84005376,0.587715918
2015-08,35.2222,11.45,0.5467,2.8225,53.0833,328.8333,7.8917,32.45295699,0.37331488
2015-09,31.1389,5.78,0.28,0.8867,61.8333,346.6667,7.9167,48.5,0.909292582
2015-10,27.6667,13.5617,7.3317,1.4467,132.4,693.8333,8.1467,97.64112903,0.79482388
2015-11,21.8889,17.8,13.075,1.9983,121.6667,708.8333,7.8117,229.9222222,1.208286804
2015-12,23.5,34.4767,20.6167,4.1167,81.3667,1018.3333,7.5983,234.7419355,1.384610053
2016-01,21.3333,28.1967,13.575,5.1,128.3333,904.8333,7.6617,283.2395693,0.980114789
2016-02,18.9722,27.3925,15.4608,4.6508,145.1833,876.5833,7.8367,141.9396552,1.508181024
2016-03,25.1944,24.955,12.4617,4.55,119.4667,764.1667,7.82,78.40591398,1.274725461
2016-04,22.7222,31.455,11.25,3.685,166.9333,789.8333,7.7233,89.07916667,1.799245397
2016-05,41.8889,25.88,13.7275,3.3875,146.85,937.75,8.2675,92.11693548,0.539786995
2016-06,41.0556,31.995,10.4917,2.7083,101.6333,660.6667,7.7517,48.76805556,0.967694683
2016-07,24.1551,28.0133,6.7533,3.6283,89.2667,545.6667,7.6167,120.3561828,0.863060832
2016-08,26.7778,9.0583,1.5917,0.5233,43.7,255.3333,7.65,30.38709677,1.240701818
2016-09,28.2083,12.7967,3.24,0.0767,62.1667,403.8333,7.8167,117.0861111,0.128502918
2016-10,27.7222,18.8167,2.9217,1.885,88.3333,619.8333,8.1167,149.0416667,0.954025681
2016-11,20.9722,19.32,0.05,3.0633,75.7333,598,7.5667,326.9388889,1.32478602
2016-12,9.3889,28.5,2.19,2.675,75.1,701.25,7.5625,217.563172,1.054241908
2017-01,21.8333,33.6383,21.3667,3.4923,234.0433,1127,7.9583,239.8627187,1.321396231
2017-02,18.6944,21.8733,11.5533,1.8193,21.7333,621.3333,8.005,138.9866071,2.021244419
2017-03,23.9167,26.8967,12.29,3.6783,161.0567,952.1667,7.9517,75.1922043,1.847257697
2017-04,24.1551,23.25,11.5833,3.26,83.3083,736.8333,7.7683,127.7972222,1.289454148
2017-05,26.1111,41.6867,9.265,6.5217,88.6017,674,7.7267,86.61155914,0.560711156
2017-06,38.6667,28.15,9.17,3.1325,64.2325,580.75,7.71,52.79722222,0.789808205
2017-07,35.8333,24.1533,9.1533,1.97,44.8683,547.5,7.64,33.07930108,1.43708768
2017-08,24.1551,10.0817,3.2783,0.965,50.4,295.8333,7.5883,34.28629032,0.129034879
2017-09,24.1551,7.7925,0.055,1.7525,80.45,434.5,7.65,46.5963939,0.518309753
2017-10,27.6944,12.4767,6.245,1.735,63.7483,595.6667,7.4683,223.1677852,0.98400813
2017-11,12.6111,16.9,8.2605,2.8327,82.5,643.3333,7.615,271.7802503,0.965497799
2017-12,8.7222,19.516,9.1385,2.8327,67.25,665.5,7.3775,218.0281879,1.813510408
2018-01,14.4444,12.5884,14.435,3.3968,149.75,971,7.9475,225.6716016,1.883491439
2018-02,19.1111,32.0733,15.2964,3.5356,141.1733,964.8333,7.2683,396.2693452,1.403621388
2018-03,25.4444,30.6583,16.52,7.375,114.1667,1031.3333,7.6483,87.61290323,1.629575712
2018-04,22.1667,28.9062,15.5287,6.5538,131.6667,970.6667,7.8417,74.75416667,0.749963332
2018-05,33.7778,28.4835,12.5883,4.2233,122.8333,920.8333,7.6733,138.7876344,0.88623981
2018-06,35.2778,25.3783,14.0333,1.555,97.6833,745,7.5133,75.32777778,0.297808663
2018-07,36.2778,16.9,7.7433,0.945,100.9167,584.3333,7.86,67.09274194,0.588541417
2018-08,35.1667,8.96,1.6367,0.669,29,228.3333,7.5583,45.91476408,0.182013736
2018-09,24.1551,8.6233,2.8722,0.752,98.1733,536.8333,7.4767,243.7228412,0.307148173
2018-10,26.3333,7.2917,2.143,0.0545,48.3,284.8333,7.5067,136.4202497,1.175621112
2018-11,21.0278,14.4433,5.6183,0.6867,66.85,430.3333,7.8233,206.9583333,0.716069829
2018-12,14.6111,19.1334,5.7667,47.9797,87.2333,609,7.855,210.594086,1.314566468
2019-01,13.8333,10.7675,5.937,1.076,98.2,737,7.7125,184.6292287,1.015508739
2019-02,16.3333,14.2728,4.4809,0.53,66.4935,477.175,7.9,115.4664032,0.614590921
2019-03,21.7778,14.2728,4.4809,0.53,66.4935,477.175,7.7986,71.00551948,1.820424676
2019-04,29.7778,12.95,4.148,1.0474,51.58,380.1667,8.2267,75.13869626,1.110866779
2019-05,32.5556,15.0667,4.7493,0.3647,53.5667,385.1667,7.7417,91.71197847,1.593263945
2019-06,35.6111,11.3283,6.1163,0.4845,66.1967,523.3333,8.0217,56.12831241,0.45487251
2019-07,37.7778,18.7017,7.0897,1.003,61.0333,521.6667,7.6933,43.64650538,0.932064912
2019-08,31.1667,9.8133,1.4983,0.115,30.42,311.1667,7.6717,31.23648649,1.251102314
2019-09,28.5139,9.715,1.807,0.1567,56.1717,407.5,7.5733,36.57083333,1.703530452
2019-10,23.0139,15.3383,4.175,0.7273,72.8333,534.5,7.6917,105.5192837,0.824709646
2019-11,15,15.43,4.9535,0.142,76.3,467.75,7.96,202.0307263,1.339816779
2019-12,7.2778,23.6167,4.3348,0.1838,98.6333,503.5,7.5917,208.7258065,0.936733153
2020-01,7.6111,22.085,6.3208,0.1452,85.75,704.3333,7.705,152.6657682,0.966896065
